Altitude (km),Densities (cm-3),,,,,,,,Temperatures (K),
,He,O,N2,O2,Ar,H,N,Total Mass (gm/cm-3),Exospheric,at Altitude
50,1.16E+11,0.00E+00,1.73E+16,4.64E+15,2.07E+14,0.00E+00,0.00E+00,1.07E-06,1037.18,267.42
75,4.47E+09,1.58E+08,6.56E+14,1.75E+14,7.63E+12,5.63E+04,7.60E+04,4.03E-08,1037.18,207.86
100,1.35E+08,5.13E+11,1.11E+13,2.49E+12,1.05E+11,1.85E+07,5.14E+05,6.69E-10,1037.18,174
125,2.38E+07,6.02E+10,1.88E+11,1.69E+10,6.69E+08,1.52E+06,2.57E+06,1.13E-11,1099.58,465.32
150,1.18E+07,1.82E+10,3.18E+10,2.02E+09,6.11E+07,2.67E+05,1.53E+07,2.07E-12,1099.58,769.49
175,9.23E+06,8.92E+09,1.06E+10,5.86E+08,1.32E+07,1.03E+05,3.66E+07,7.60E-13,1099.58,926.92
200,7.82E+06,5.19E+09,4.36E+09,2.16E+08,3.83E+06,6.74E+04,4.38E+07,3.53E-13,1099.58,1008.82
225,6.85E+06,3.25E+09,1.98E+09,8.83E+07,1.26E+06,5.62E+04,3.69E+07,1.84E-13,1099.58,1051.64
250,6.10E+06,2.11E+09,9.45E+08,3.80E+07,4.43E+05,5.17E+04,2.69E+07,1.03E-13,1099.58,1074.13
275,5.48E+06,1.40E+09,4.63E+08,1.68E+07,1.61E+05,4.93E+04,1.87E+07,6.00E-14,1099.58,1086.01
300,4.95E+06,9.35E+08,2.31E+08,7.60E+06,5.94E+04,4.76E+04,1.28E+07,3.63E-14,1099.58,1092.31
325,4.48E+06,6.31E+08,1.16E+08,3.47E+06,2.23E+04,4.63E+04,8.86E+06,2.26E-14,1099.58,1095.66
350,4.06E+06,4.28E+08,5.89E+07,1.60E+06,8.47E+03,4.51E+04,6.18E+06,1.44E-14,1099.58,1097.46
375,3.69E+06,2.92E+08,3.01E+07,7.41E+05,3.25E+03,4.40E+04,4.35E+06,9.31E-15,1099.58,1098.43
400,3.35E+06,1.99E+08,1.55E+07,3.46E+05,1.25E+03,4.30E+04,3.09E+06,6.12E-15,1099.58,1098.95
425,3.05E+06,1.37E+08,7.98E+06,1.63E+05,4.88E+02,4.20E+04,2.20E+06,4.08E-15,1099.58,1099.23
450,2.78E+06,9.39E+07,4.14E+06,7.69E+04,1.91E+02,4.10E+04,1.58E+06,2.75E-15,1099.58,1099.39
475,2.53E+06,6.48E+07,2.16E+06,3.66E+04,7.55E+01,4.01E+04,1.13E+06,1.87E-15,1099.58,1099.47
500,2.31E+06,4.48E+07,1.13E+06,1.75E+04,3.00E+01,3.91E+04,8.19E+05,1.28E-15,1099.58,1099.52
525,2.11E+06,3.10E+07,5.97E+05,8.41E+03,1.20E+01,3.83E+04,5.95E+05,8.81E-16,1099.58,1099.55
550,1.92E+06,2.16E+07,3.16E+05,4.06E+03,4.84E+00,3.74E+04,4.33E+05,6.11E-16,1099.58,1099.56
575,1.76E+06,1.50E+07,1.68E+05,1.97E+03,1.96E+00,3.66E+04,3.15E+05,4.26E-16,1099.58,1099.57
600,1.61E+06,1.05E+07,8.97E+04,9.64E+02,8.01E-01,3.58E+04,2.31E+05,2.99E-16,1099.58,1099.57
625,1.47E+06,7.36E+06,4.81E+04,4.73E+02,3.29E-01,3.50E+04,1.69E+05,2.12E-16,1099.58,1099.58
650,1.35E+06,5.17E+06,2.59E+04,2.33E+02,1.36E-01,3.42E+04,1.24E+05,1.51E-16,1099.58,1099.58
675,1.23E+06,3.64E+06,1.40E+04,1.16E+02,5.66E-02,3.35E+04,9.12E+04,1.08E-16,1099.58,1099.58
700,1.13E+06,2.57E+06,7.63E+03,5.77E+01,2.37E-02,3.27E+04,6.72E+04,7.78E-17,1099.58,1099.58
