Altitude (km),Densities (cm-3),,,,,,,,Temperatures (K),
,He,O,N2,O2,Ar,Total Mass (gm/cm-3),H,N,Exospheric,at Altitude
50,1.16E+11,0.00E+00,1.73E+16,4.64E+15,2.07E+14,1.07E-06,0.00E+00,0.00E+00,1037.18,267.42
60,3.48E+10,0.00E+00,5.18E+15,1.39E+15,6.19E+13,3.19E-07,0.00E+00,0.00E+00,1037.18,247.98
70,9.46E+09,0.00E+00,1.40E+15,3.74E+14,1.65E+13,8.60E-08,0.00E+00,0.00E+00,1037.18,214.99
80,2.05E+09,4.78E+09,2.96E+14,7.84E+13,3.41E+12,1.82E-08,5.15E+07,1.12E+05,1037.18,206.31
90,4.75E+08,2.52E+11,6.14E+13,1.57E+13,6.75E+11,3.74E-09,6.68E+07,2.55E+05,1037.18,194.1
100,1.35E+08,5.13E+11,1.11E+13,2.49E+12,1.05E+11,6.69E-10,1.85E+07,5.14E+05,1037.18,174
110,5.49E+07,2.24E+11,1.57E+12,2.52E+11,9.99E+09,9.29E-11,6.37E+06,8.62E+05,1037.18,237.44
120,3.08E+07,8.88E+10,3.36E+11,3.57E+10,1.42E+09,2.00E-11,2.40E+06,1.74E+06,1037.18,378.72
130,1.90E+07,4.39E+10,1.17E+11,9.38E+09,3.61E+08,7.14E-12,1.00E+06,3.86E+06,1099.58,543.21
140,1.40E+07,2.67E+10,5.64E+10,3.90E+09,1.34E+08,3.55E-12,4.84E+05,8.27E+06,1099.58,671.21
150,1.18E+07,1.82E+10,3.18E+10,2.02E+09,6.11E+07,2.07E-12,2.67E+05,1.53E+07,1099.58,769.49
160,1.05E+07,1.33E+10,1.96E+10,1.18E+09,3.13E+07,1.33E-12,1.68E+05,2.42E+07,1099.58,845.02
170,9.61E+06,1.01E+10,1.28E+10,7.31E+08,1.74E+07,9.06E-13,1.19E+05,3.29E+07,1099.58,903.11
180,8.89E+06,7.93E+09,8.74E+09,4.74E+08,1.02E+07,6.44E-13,9.19E+04,3.95E+07,1099.58,947.82
190,8.31E+06,6.37E+09,6.11E+09,3.17E+08,6.16E+06,4.71E-13,7.66E+04,4.32E+07,1099.58,982.27
200,7.82E+06,5.19E+09,4.36E+09,2.16E+08,3.83E+06,3.53E-13,6.74E+04,4.38E+07,1099.58,1008.82
210,7.39E+06,4.28E+09,3.16E+09,1.50E+08,2.43E+06,2.69E-13,6.15E+04,4.20E+07,1099.58,1029.31
220,7.02E+06,3.55E+09,2.31E+09,1.05E+08,1.57E+06,2.08E-13,5.77E+04,3.88E+07,1099.58,1045.13
230,6.68E+06,2.97E+09,1.70E+09,7.44E+07,1.02E+06,1.63E-13,5.50E+04,3.49E+07,1099.58,1057.36
240,6.38E+06,2.50E+09,1.27E+09,5.30E+07,6.70E+05,1.29E-13,5.31E+04,3.08E+07,1099.58,1066.81
250,6.10E+06,2.11E+09,9.45E+08,3.80E+07,4.43E+05,1.03E-13,5.17E+04,2.69E+07,1099.58,1074.13
